yourlist:M20200504A94466D2655679D1FD8953E075198DA89B94A1F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
SMCR5	Q8TEV8	SMCR5_HUMAN	reviewed	Smith-Magenis syndrome chromosomal region candidate gene 5 protein	SMCR5	Homo sapiens (Human)	140
PYY2	Q9NRI6	PYY2_HUMAN	reviewed	Putative peptide YY-2 (Putative peptide YY2)	PYY2	Homo sapiens (Human)	33
ASB16-AS1	Q495Z4	ASAS1_HUMAN	reviewed	Putative uncharacterized protein ASB16-AS1 (ASB16 antisense RNA 1) (ASB16 antisense gene protein 1)	ASB16-AS1 C17orf65	Homo sapiens (Human)	193
HILS1	P60008	HILS1_HUMAN	reviewed	Spermatid-specific linker histone H1-like protein	HILS1	Homo sapiens (Human)	231
LINC00482	Q8N8I6	CQ055_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00482	LINC00482 C17orf55	Homo sapiens (Human)	264
LINC00470	Q9BZP3	CR002_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00470	LINC00470 C18orf2	Homo sapiens (Human)	86
LINC00526	Q96FQ7	CR018_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00526	LINC00526 C18orf18	Homo sapiens (Human)	95
LINC01387	J3KSC0	CR064_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01387	LINC01387 C18orf64	Homo sapiens (Human)	135
C18orf15	Q96N68	CR015_HUMAN	reviewed	Putative uncharacterized protein C18orf15	C18orf15	Homo sapiens (Human)	181
CIRBP-AS1	Q8TBR5	CSAS1_HUMAN	reviewed	Putative uncharacterized protein CIRBP-AS1 (CIRBP antisense RNA 1) (CIRBP antisense gene protein 1)	CIRBP-AS1 C19orf23	Homo sapiens (Human)	109
CACTIN-AS1	Q8N1I8	CAAS1_HUMAN	reviewed	Putative uncharacterized protein encoded by CACTIN-AS1 (Cactin antisense RNA 1)	CACTIN-AS1 C19orf29-AS1 C19orf29OS	Homo sapiens (Human)	211
C3P1	Q6ZMU1	C3P1_HUMAN	reviewed	Putative protein C3P1	C3P1	Homo sapiens (Human)	363
ZNF738	Q8NE65	ZN738_HUMAN	reviewed	Protein ZNF738	ZNF738	Homo sapiens (Human)	137
ZNF724	A8MTY0	ZN724_HUMAN	reviewed	Zinc finger protein 724	ZNF724 ZNF724P	Homo sapiens (Human)	619
KLKP1	Q107X0	KRIP1_HUMAN	reviewed	Putative protein KRIP1 (Kallikrein-related in prostate protein 1) (Kallikrein-related mRNA protein) (KARMA)	KLKP1 KLK31P	Homo sapiens (Human)	134
ZNF137P	P52743	ZN137_HUMAN	reviewed	Putative zinc finger protein 137 (Zinc finger protein 137 pseudogene)	ZNF137P ZNF137	Homo sapiens (Human)	207
ZNF702P	Q9H963	ZN702_HUMAN	reviewed	Putative zinc finger protein 702	ZNF702P ZNF702	Homo sapiens (Human)	129
ZNF818P	Q6ZRF7	ZN818_HUMAN	reviewed	Putative zinc finger protein 818	ZNF818P ZNF818	Homo sapiens (Human)	136
KIR3DX1	Q9H7L2	KI3X1_HUMAN	reviewed	Putative killer cell immunoglobulin-like receptor-like protein KIR3DX1 (Leukocyte receptor cluster member 12)	KIR3DX1 KIR3DL0 LENG12	Homo sapiens (Human)	352
ZNF542P	Q5EBM4	ZN542_HUMAN	reviewed	Putative zinc finger protein 542 (Zinc finger protein 542 pseudogene)	ZNF542P ZNF542	Homo sapiens (Human)	170
PRNT	Q86SH4	PRNT_HUMAN	reviewed	Putative testis-specific prion protein (Protein M8)	PRNT	Homo sapiens (Human)	94
TSPY26P	Q9H489	TSY26_HUMAN	reviewed	Putative testis-specific Y-encoded-like protein 3 (TSPY-like protein 3) (Testis-specific Y-encoded protein 26 pseudogene)	TSPY26P TSPYL3	Homo sapiens (Human)	355
BPIFA4P	Q86YQ2	LATH_HUMAN	reviewed	Putative BPIFA4P protein (BPI fold containing family A, member 4, pseudogene) (Breast cancer and salivary gland-expressed protein) (Putative latherin)	BPIFA4P BASE LATH	Homo sapiens (Human)	179
MMP24-AS1	A0A0U1RRL7	MMPOS_HUMAN	reviewed	Protein MMP24OS (MMP24 opposite strand)	MMP24OS MMP24-AS1	Homo sapiens (Human)	71
FER1L4	A9Z1Z3	FR1L4_HUMAN	reviewed	Fer-1-like protein 4	FER1L4 C20orf124	Homo sapiens (Human)	1794
SUMO1P1	G2XKQ0	SUMO5_HUMAN	reviewed	Small ubiquitin-related modifier 5 (SUMO-5) (SUMO1 pseudogene 1) (Ubiquitin-like 2) (Ubiquitin-like 6)	SUMO1P1 SUMO5 UBL2 UBL6	Homo sapiens (Human)	101
PPP4R1L	Q9P1A2	PP4RL_HUMAN	reviewed	Putative serine/threonine-protein phosphatase 4 regulatory subunit 1-like	PPP4R1L C20orf192 PRO1085	Homo sapiens (Human)	415
LINC00158	P58513	CU042_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00158	LINC00158 C21orf42 NCRNA00158	Homo sapiens (Human)	81
URB1-AS1	Q96HZ7	URAS1_HUMAN	reviewed	Putative uncharacterized protein URB1-AS1 (URB1 antisense RNA 1) (URB1 antisense gene protein 1)	URB1-AS1 C21orf119 PRED84	Homo sapiens (Human)	61
C21orf62-AS1	Q17RA5	CMAS1_HUMAN	reviewed	Putative uncharacterized protein C21orf62-AS1 (C21orf62 antisense RNA 1) (C21orf62 antisense gene protein 1)	C21orf62-AS1 C21orf49	Homo sapiens (Human)	79
LINC00310	P59036	CU082_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00310	LINC00310 C21orf82 NCRNA00310	Homo sapiens (Human)	64
DSCR9	P59020	DSCR9_HUMAN	reviewed	Down syndrome critical region protein 9	DSCR9	Homo sapiens (Human)	149
DSCR4	P56555	DSCR4_HUMAN	reviewed	Down syndrome critical region protein 4 (Down syndrome critical region protein B)	DSCR4 DCRB DSCRB	Homo sapiens (Human)	118
LINC00114	Q6XXX2	CU024_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00114	LINC00114 C21orf24 NCRNA00114	Homo sapiens (Human)	140
BRWD1-IT2	P59051	BRAS2_HUMAN	reviewed	Putative uncharacterized protein encoded by BRWD1-AS2 (ATP1A1 antisense RNA 1) (ATP1A1 antisense gene protein 1) (BRWD1 intronic transcript 2)	BRWD1-AS2 BRWD1-IT2 C21orf87 NCRNA00257	Homo sapiens (Human)	145
B3GALT5-AS1	P59052	B3AS1_HUMAN	reviewed	Putative uncharacterized protein B3GALT5-AS1 (B3GALT5 antisense RNA 1) (B3GALT5 antisense gene protein 1)	B3GALT5-AS1 C21orf88	Homo sapiens (Human)	145
LINC00479	Q96M42	CU129_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00479	LINC00479 C21orf129 PRED76	Homo sapiens (Human)	142
ZNF295-AS1	Q8N0V1	ZNAS1_HUMAN	reviewed	Putative uncharacterized protein ZNF295-AS1 (ZNF295 antisense RNA 1) (ZNF295 antisense gene protein 1)	ZNF295-AS1 C21orf121 NCRNA00318 PRED87	Homo sapiens (Human)	137
UMODL1-AS1	Q8N2C9	UMAS1_HUMAN	reviewed	Uncharacterized protein UMODL1-AS1 (UMODL1 antisense RNA 1) (UMODL1 antisense gene protein 1)	UMODL1-AS1 C21orf128	Homo sapiens (Human)	162
LINC00322	Q6ZN03	CU136_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00322	LINC00322 C21orf136 NCRNA00322	Homo sapiens (Human)	302
TSPEAR-AS2	P59090	TSAS2_HUMAN	reviewed	Putative uncharacterized protein TSPEAR-AS2 (TSPEAR antisense RNA 2) (TSPEAR antisense gene protein 2)	TSPEAR-AS2 C21orf90	Homo sapiens (Human)	65
LINC01547	P58512	CU067_HUMAN	reviewed	Uncharacterized protein encoded by LINC01547	LINC01547 C21orf67 C21orf69	Homo sapiens (Human)	204
LINC00528	Q8N1L1	CV037_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00528	LINC00528 C22orf37	Homo sapiens (Human)	170
GUSBP11	Q6P575	BGP11_HUMAN	reviewed	Putative inactive beta-glucuronidase protein GUSBP11 (Beta-glucuronidase pseudogene 11)	GUSBP11	Homo sapiens (Human)	273
ADORA2A-AS1	P86434	AAS1_HUMAN	reviewed	Putative uncharacterized protein ADORA2A-AS1 (ADORA2A antisense RNA 1) (ADORA2A antisense gene protein 1)	ADORA2A-AS1 C22orf45	Homo sapiens (Human)	159
KIAA1656	Q569K6	CC157_HUMAN	reviewed	Coiled-coil domain-containing protein 157	CCDC157 KIAA1656	Homo sapiens (Human)	752
